Taurus Associates,40.671976,-73.734323,Sharon Sweeting Lindsay / Lee Blackmon,646-261-1973,Pantry,240-08 135th Avenue,Rosedale,NY,11422,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,closed
Bnai Raphael Chesed Organization,40.619631,-73.93758,Kimberly Singh,718-951-6059,Pantry,3846 Flatlands Avenue,Brooklyn,NY,11234,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 06:00 PM,closed,closed,closed
WOSSEM Charities,40.692887,-73.79947,Toyin Gbemi,646-925-0641,Pantry,108-02 Sutphin Blvd,Jamaica,NY,11435,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Jewish Institute of Queens,40.731187,-73.871251,Rabbi Shmuel Kogan,718-426-9369 ext. 229,Pantry,60-5 Woodhaven Blvd,Elmhurst,NY,11373,closed,closed,closed,closed,10:30 AM - 12:00 PM,closed,closed
La Jornada,40.758237,-73.832707,Pedro Rodriguez,917-880-5693,Pantry,133-36 Roosevelt Avenue,Flushing,NY,11354,closed,closed,closed,12:00 PM - 9:00 PM (seniors),12:00 PM - 9:00 PM (seniors),09:00 AM - 2:00 PM (Regular),closed
JASA Starrett City Senior Center,40.647467,-73.877541,Gertrude Arauz,718-642-1010,Senior Service,1540 Van Siclen Avenue,Brooklyn,NY,11239,07:00 AM - 03:00 PM,07:00 AM - 03:00 PM,07:00 AM - 03:00 PM,07:00 AM - 03:00 PM,07:00 AM - 03:00 PM,closed,closed
Jamaica SDA Church,40.707883,-73.798957,Sylvia Robinson,347-444-3087,Pantry,88-28 163rd Street,Jamaica,NY,11432,closed,closed,closed,closed,closed,closed,09:30 AM - 11:30 AM
The River Fund New York Mobile Outreach,40.696933,-73.829205,Otto Starzmann,718-441-1125,Mobile Pantry,89-11 Lefferts Blvd,Richmond Hill,NY,11418,closed,11:00 AM - 12:30 PM,closed,closed,closed,12:00 PM - 02:00 PM,closed
Salvation Army Brownsville,40.661197,-73.906462,Charlene Williams,"718-345-7050 ext. 4024, ext. 4026; 929-523-7216 (cell)",Pantry,280 Riverdale Avenue,Brooklyn,NY,11212,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 12:00 PM,closed,closed
OPIN (Other People In Need),40.669752,-73.918482,Dorothy,917-716-6065,Soup Kitchen,1768 St Johns Place,Brooklyn,NY,11233,closed,closed,05:00 PM - 07:00 PM,closed,02:00 PM - 04:00 PM,closed,closed
Second Chance Agape Worship Center,40.706043,-73.75718,Sylvia Monroe/Shyremia,917-416-3697; 917-767-6262,Pantry,200-12 Hollis Avenue,St. Albans,NY,11412,closed,closed,closed,12:00 PM - 02:00 PM,closed,closed,closed
Divine Truth Ministry,40.714762,-73.742947,Soline Celestin,516-655-2661,Pantry,215-31 99th Avenue,Queens Village,NY,11429,closed,closed,closed,closed,06:00 PM - 08:00 PM,01:30 PM - 03:00 PM,closed
"Our Lady Charity For The Community, Inc.",40.636496,-73.92053,Angel Hendy / Sajar Hendy,347-661-8558; 347-522-6270,Pantry,5816 Farragut Road,Brooklyn,NY,11234,closed,closed,closed,closed,closed,09:00 AM - 11:30 AM,closed
Tzu-Chi Foundation Food Pantry,40.764107,-73.828612,Sang Sang Chiang,917-478-0966/718-888-0866,Pantry,137-77 Northern Blvd.,Flushing,NY,11354,-,,-,-,9:00 AM - 11:00 AM,-,-
Center of Hope International,40.756909,-73.941853,Telisha Taylor,917-324-3204,Pantry,38-49 12th Street,Long Island City,NY,11101,closed,12:00 PM - 03:00 PM,11:00 AM - 02:00 PM,12:00 PM - 03:00 PM,closed,closed,closed
The Salvation Army Jamaica Citadel,40.704826,-73.798915,Dorothy Tracey,917-498-8675 (cell),Soup Kitchen,90-23 161st Street,Jamaica,NY,11432,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,closed,closed,closed,closed
Queensboro SDA Church,40.718066,-73.731831,Pastor Alcock,718-916-0956,Pantry,96-50 222nd Street,Queens Village,NY,11429,closed,closed,04:00 PM - 07:00 PM,closed,closed,closed,closed
Leviticus Church,40.681494,-73.80556,Amanda Gaston,718-322-1095,Pantry,114-12 Van Wyck Expressway,South Ozone Park,NY,11420,closed,closed,01:00 PM - 02:00 PM,closed,closed,12:00 PM - 01:00 PM,closed
The Salvation Army - Templo de Queens,40.75237,-73.880278,Sara D'Acunto,914-552-8973; 718-335-1590; 347-399-5209,Pantry,86-07 35th Avenue,Jackson Heights,NY,11372,closed,closed,09:00 AM - 10:30 AM,closed,closed,closed,closed
The Salvation Army - Templo de Queens,40.75237,-73.880278,Sara D'Acunto,718-335-3693; 718-335-1590; 347-399-5209,Soup Kitchen,86-07 35th Avenue,Jackson Heights,NY,11372,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,closed,closed
Our Lady of Grace Ministry,40.660978,-73.832888,Mrs. Ruvolo,718-845-6635,Pantry,158-10 101st Street,Howard Beach,NY,11414,closed,10:30 AM - 12:30 PM,closed,closed,closed,closed,closed
Bethel AME Church,40.588548,-73.804477,Artie Crawford,Office 718-474-7712 and Cell 516-503-9715,Pantry,215 Beach 77th Street,Arverne,NY,11692,closed,closed,closed,11:00 AM - 01:00 PM,closed,closed,closed
Faith Based Food Distribution Dev. Corp.,40.6804,-73.930581,Michelle John,917-995-6891,Pantry,121 Chauncey Street,Brooklyn,NY,11233,closed,closed,closed,closed,10:30 AM - 02:00 PM,09:00 AM - 12:00 PM,closed
St. John's Bread and Life,40.690319,-73.92892,Sr.Caroline Tweedy,718-574-0058 EXT. 167,Soup Kitchen,795 Lexington Avenue,Brooklyn,NY,11221,08:00 AM - 09:30 AM,08:00 AM - 09:30 AM,08:00 AM - 09:30 AM,08:00 AM - 09:30 AM,08:00 AM - 09:30 AM,closed,closed
The Rose Kitchen,40.700828,-73.791423,Andrea Green,917-678-2027,Soup Kitchen,104-19 165th Street,Jamaica,NY,11433,closed,closed,closed,12:00PM - 2:00PM (every other week),closed,closed,closed
One Way Church of Christ,40.68017,-73.752324,Virginia Tucker,516-841-8283,Pantry,216-11 Merrick Blvd,Springfield Gardens,NY,11413,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed
Metropolitan Community Church of NY,40.75544,-73.997441,Mike Easterling,212-629-7440,Pantry,446 West 36th Street,New York,NY,10018,closed,01:00 PM - 3:00 PM,01:00 PM - 3:00 PM,09:00 AM - 11:00 AM,01:00 PM - 3:00 PM,closed,closed
Salvation Army Port Richmond Corps,40.626513,-74.133026,Madeline Morales,718-442-2145 ext. 203,Pantry,1295 Forest Avenue,Staten Island,NY,10302,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,closed,closed,closed
JITA Community Outreach Center,40.703458,-73.78751,Danette Rivera,718-908-6303,Pantry,103-02 171st Street,Jamaica,NY,11433,closed,03:00 PM - 05:00 PM,closed,closed,closed,03:00 PM - 05:00 PM,closed
Bay View Houses Resident Association,40.632857,-73.886954,Sheryl Boyce,84720,Pantry,2085 Rockaway Parkway,Brooklyn,NY,11236,closed,closed,closed,10:00 AM - 01:00 PM,closed,closed,closed
Christ Church International Joseph's House,40.682812,-73.769799,Anthony Lavalle,917-861-5087,Pantry,122-20 Merrill Street,Jamaica,NY,11434,closed,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed
KINGSLAWN UNITED PRESBYTERIAN CHURCH,40.620241,-73.917506,ELDER AGNES ALEXANDER,917-714-3794,Pantry,2368 RALPH AVENUE,Brooklyn,NY,11238,closed,closed,closed,closed,closed,10:00 AM - 11:00 AM,closed
Make the Road New York - Queens,40.74875,-73.874513,Arline Cruz,866-365-2724 Ext. 333,Pantry,92-10 Roosevelt Avenue,Jackson Heights,NY,11372,closed,closed,09:30 AM - 2:30 PM (Once a month By appointment only),closed,closed,closed,closed
Evangel Food Pantry,40.7542,-73.937114,Andrew Marko,718-361-5454,Pantry,39-21 Cresent St.,Long Island City,NY,11101,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,09:00 AM - 12:00 PM,closed
Holy Temple Church Inc.,40.677102,-73.755085,Pastor John Singletary,917-658-6337,Pantry,136-25 Springfield Blvd,Springfield Gardens,NY,11413,closed,closed,closed,closed,closed,11:00 AM - 12:00 PM,closed
Primitive Christian Church,40.714117,-73.987937,Eric Diaz,646-626-9748,Pantry,207-209 East Broadway,New York,NY,10002,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed
Staten Island SDA Church,40.634831,-74.158227,Carol Jones Francois,347-696-2055,Pantry,80 Union Avenue,Staten Island,NY,10303,closed,closed,closed,closed,closed,closed,10:00 AM - 02:00 PM
First Corinthian Baptist Church,40.803104,-73.952942,Minister Heaven Berhane,917-903-5013,Pantry,1912 Adam Clayton Powell Jr Boulevard,New York,NY,10026,-,-,-,-,11:00 AM - 2:00 PM,-,-
Holy Cross Church Crossroads,40.757972,-73.991072,Edward Reigadas,347-852-0274,Pantry,329 West 42nd Street,New York,NY,10036,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed
Solid Rock SDA Church,40.589564,-73.799815,Luis Coppin,917-929-9348,Pantry,52-05 Rockaway Beach Blvd,Arverne,NY,11692,closed,closed,10:00 AM - 11:00 AM,closed,closed,closed,closed
Zichron Acheinu Levy Menachem Tzion,40.642585,-73.99732,Gavriel Schapiro,347-742-0552,Pantry,928 44th Street,Brooklyn,NY,11219,closed,closed,closed,closed,12:00 PM - 01:00 PM,closed,closed
St Augustine RC Ch,40.684948,-73.980613,Jean Prahl,347-637-0304,Pantry,116 Sixth Avenue,Brooklyn,NY,11217,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Ascension Outreach Inc.,40.734187,-73.995718,Father Edwin Chinery,212-254-8620-ext.18,Pantry,12 West 11th Street,New York,NY,10011,closed,closed,closed,closed,closed,08:30 AM - 09:00 AM,closed
Cathedral Community Cares,40.804109,-73.962577,Robert Finn,347-376-2848,Soup Kitchen,1047 Amsterdam Avenue,New York,NY,10025,closed,closed,closed,closed,closed,closed,10:00 AM - 11:30 AM
First United Methodist Church of Jamaica,40.709757,-73.80076,Joyce Carter-Thomas,718-739-2269,Pantry,162-10 Highland Avenue,Jamaica,NY,11432,08:30 AM - 09:30 AM,closed,closed,closed,closed,closed,closed
Transfiguration Church,40.705257,-73.955852,Jose Javier Bosque,718-782-8181,Pantry,263 Marcy Avenue,Brooklyn,NY,11211,Closed,10:30 AM - 12:00 PM,closed,10:30 AM - 12:00 PM,closed,closed,closed
St. Charles Borromeo Church,40.81953,-73.941703,Catresa Johnson,917-664-5079,Pantry,211 West 141st Street,New York,NY,10030,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM,closed
Grand Central Food Program,40.802621,-73.935596,Juan De La Cruz,212-369-9220,Mobile Soup Kitchen,210 East 124th Street,New York,NY,10029,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,closed,closed
Holy Name Food Pantry,40.794516,-73.971042,Milagros Ortega,212-932-8040 ext. 14,Pantry,207 West 96th Street,New York,NY,10025,10:00 AM - 02:00 PM,closed,closed,closed,closed,closed,closed
University Community Social Services,40.723108,-73.986289,Joseph Montano,347-850-2230,Soup Kitchen,137 East 2nd Street,New York,NY,10009,closed,closed,closed,closed,closed,08:00 AM - 02:30 PM,closed
Friendly Hands Ministry Inc.,40.798729,-73.937555,Domingo Vazquez,347-380-1436,Soup Kitchen,229 East 118th Street (Ground Floor),New York,NY,10035,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM,closed,12:00 PM - 02:00 PM,closed,closed,closed
Friendly Hands Ministry Inc.,40.798729,-73.937555,Rosalin Disla-Vasquez,347-380-1436,Pantry,229 East 118th Street (Ground Floor),New York,NY,10035,closed,closed,09:00 AM - 12:00 PM,closed,closed,closed,closed
Mesivtha of Staten Island,40.527644,-74.214452,Rabbi Moshe Yudkowsky,917-670-0553,Pantry,1870 Drumgoole Road East,Staten Island,NY,10309,closed,closed,11:00 AM - 12:00 PM,closed,closed,closed,closed
Worldwide Missionary Movement,40.865123,-73.918899,Ismael Trinidad,646-545-7696,Pantry,148 Post Avenue,New York,NY,10034,closed,closed,closed,closed,closed,09:00 AM - 12:00 PM,closed
Community League of the Heights,40.834305,-73.941834,Betsy Crime / Yvonne Stennett,212-795-4779 / 646-299-1086,Pantry,508 West 159th Street,New York,NY,10032,closed,09:00 AM - 01:00 PM,09:00 AM - 01:00 PM,09:00 AM - 01:00 PM,closed,09:00 AM - 01:00 PM,closed
Basilica of Our Lady of Perpetual Help,40.638733,-74.014656,Sister Lucille Aliperti,347-603-3738,Pantry,545 60th Street,Brooklyn,NY,11220,closed,closed,closed,closed,closed,10:30 AM - 12:00 PM,closed
Gethsemane Baptist Church,40.842812,-73.889174,Tammy Brunson,347-948-0772,Pantry,771 Fairmount Place,Bronx,NY,10460,closed,closed,closed,07:30 AM - 09:30 AM,closed,closed,closed
Our Lady of Refuge RC Church,40.636493,-73.957709,Joane Lawrence,718-434-2090,Pantry,2020 Foster Avenue,Brooklyn,NY,11210,closed,closed,10:00 AM - 01:00 PM,closed,closed,closed,closed
St. Paul's Lutheran Church,40.834561,-73.862509,Michel Post,610-730-9005,Pantry,1891 McGraw Avenue,Bronx,NY,10462,-,-,-,-,8:00 AM - 10:00 AM,-,-
Holy Cross Church Food Pantry,40.650434,-73.953525,Shirley Ray,718-469-5900,Pantry,2530 Church Avenue,Brooklyn,NY,11226,closed,02:00 PM - 03:30 PM,closed,02:00 PM - 03:30 PM,closed,closed,closed
St. Matthews's RC Church,40.66969,-73.932124,Keetha Howerton,646-400-8032,Pantry,1342 Lincoln Place,Brooklyn,NY,11213,closed,09:00 AM - 12:00 PM,closed,closed,closed,closed,closed
Full Gospel Assembly,40.664679,-73.956619,Angeleith Brown,718-940-9687,Pantry,131 Sullivan Place,Brooklyn,NY,11225,closed,closed,01:00 PM - 02:00 PM,closed,closed,closed,closed
Metro World Child Mobile Program,40.693931,-73.924892,Sara Ferrer,718-453-3352 ext. 162,Mobile Pantry,11 Harman Street,Brooklyn,NY,11221,-,3:00 PM - 8:00 PM,3:00 PM - 8:00 PM,3:00 PM - 8:00 PM,3:00 PM - 8:00 PM,11:00 AM - 7:00 PM,-
St. Therese of Lisieux RC Church,40.641681,-73.934435,Mary McMillian,917-620-9365,Pantry,4410 Avenue D,Brooklyn,NY,11203,closed,9:00AM-1:00PM,closed,closed,closed,closed,closed
SCO Family of Services/Bethany House,40.699278,-73.926303,Sheena Shaw,718-574-6300,Pantry,164 Suydam Street,Brooklyn,NY,11221,closed,closed,closed,11:00 AM - 01:00 PM,closed,closed,closed
Abundant Life Tabernacle Inc,40.813424,-73.922358,Jasper Rolle Jr,718-292-8734,Pantry,2692 3rd Avenue,Bronx,NY,10454,closed,12:00 PM - 02:00 PM,closed,12:00 PM - 02:00 PM,closed,closed,closed
Bronx SDA Church,40.842149,-73.900968,Roy Bartley,917-435-8643,Pantry,1695 Washington Avenue,Bronx,NY,10457,closed,closed,closed,11:00 AM - 06:00 PM,closed,closed,closed
Bronx Temple SDA Community Services,40.814992,-73.9188,Mr. Lloyd Gilkes,347-869-0068,Pantry,495 Willis Avenue,Bronx,NY,10455,11:00 AM - 01:00 PM,closed,11:00 AM - 01:00 PM,12:00 PM - 01:00 PM,closed,closed,closed
Cornerstone Baptist Food Pantry,40.686366,-73.935144,Diana Little,347-221-1801,Pantry,562-574 Madison Street,Brooklyn,NY,11221,closed,11:00 AM - 01:00 PM,closed,closed,closed,closed,closed
God's Battalion Prayer Church,40.653823,-73.933805,Minister Cheryl Kilkenny,718-774-5447/718-913-0100,Pantry,661 Linden Boulevard,Brooklyn,NY,11203,closed,09:00 AM - 12:00 PM,closed,09:00 AM - 12:00 PM,closed,closed,closed
Horeb SDA Community Services,40.661049,-73.942827,Marie Thelisma,347-713-4451,Pantry,520 Kingston Avenue,Brooklyn,NY,11225,#####,closed,closed,closed,closed,closed,closed
Neighbors Together,40.678321,-73.913936,Sandro Ortega,718-498-7256 ext. 5005; 917-714-9415,Soup Kitchen,2094 Fulton Street,Brooklyn,NY,11233,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM,closed,closed
Calvary Pentecostal Church,40.654455,-73.961079,John Noel,718-859-7491,Pantry,151 Woodruff Avenue,Brooklyn,NY,11226,closed,closed,closed,11:00 AM - 01:00 PM,closed,closed,closed
SCO Family of Services/Center for Family Life Prog,40.651986,-74.004865,Noah Wolf,301-693-3788,Pantry,443 39th Street,Brooklyn,NY,11232,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,10:00 AM - 01:00 PM,closed,closed
RHOW BROOKLYN INC,40.686633,-73.980234,Derrick Alex,718-222-4075 x108,Pantry,360 Schermerhorn Street,Brooklyn,NY,11217,closed,closed,closed,closed,closed,09:00 AM - 10:30 AM,closed
RHOW BROOKLYN INC,40.686633,-73.980234,Derrick Alex,718-222-4075 x108,Soup Kitchen,360 Schermerhorn Street,Brooklyn,NY,11217,09:00 AM - 10:00 AM,09:00 AM - 10:00 AM,09:00 AM - 10:00 AM,closed,closed,closed,closed
,0,0,,,,,,,,,,,,,,
Agency Name,39.410971,-93.431928,Contact,Phone,Program Type,Address,City,State,ZIP Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Ebenezer SDA Church,40.667481,-73.921238,Bruce Johnson,646-662-3405 (cell),Pantry,1234 East New York Avenue,Brooklyn,NY,11212,closed,closed,10:30 AM - 01:00 PM,closed,closed,closed,closed
Jewish Community Center of Staten Island,40.594735,-74.126203,Sara Cohen,718-475-5242,Pantry,1466 Manor Road,Staten Island,NY,10314,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,10:00 AM - 02:00 PM,closed,closed
Mosaic Beacon Community Center Food Pantry,40.839672,-73.925699,Marie Stroud,917-258-3896,Pantry,1257 Ogden Avenue,Bronx,NY,10452,closed,04:00 PM - 06:00 PM,04:00 PM - 06:00 PM,04:00 PM - 06:00 PM,closed,closed,closed
CCCS,40.634803,-74.134414,Michelle LaVigerna,"718-447-6330, Ext 2890",Mobile Pantry,120 Anderson Avenue,Staten Island,NY,10302,closed,01:00 PM - 03:00 PM,closed,closed,closed,closed,closed
Catholic Charities Washington Heights Food Pantry,40.812709,-73.939903,Roland Dixon,212-862-6401 x440,Pantry,34 West 134th Street,New York,NY,10037,closed,closed,09:30 AM - 12:00 PM,closed,closed,closed,closed
Church of St. Frances of Rome,40.895686,-73.853513,Lorrin Johnson,917-297-4548,Pantry,760 Whitehall Place,Bronx,NY,10466,closed,closed,closed,closed,09:00 AM - 12:00 PM,closed,closed
Crown Heights Community Outreach Center,40.659859,-73.945008,Angella Auguste,718-493-5049,Pantry,467 Rutland Road,Brooklyn,NY,11203,closed,closed,closed,closed,04:00 PM - 07:00 PM,closed,closed
The Riverside Church FP,40.811956,-73.962512,Julio Quirindongo,212-870-6760,Pantry,91 Claremont Avenue,New York,NY,10027,closed,09:30 AM - 01:00 PM,09:30 AM - 01:00 PM,09:30 AM - 01:00 PM,09:30 AM - 01:00 PM,closed,closed
Iglesia de Dios de la Profecia,40.710559,-73.951651,Mirka Louis,646-339-0148,Pantry,414 Hooper Street,Brooklyn,NY,11211,closed,closed,9:00 AM - 12:30 PM,closed,closed,closed,closed
Salvation Army Ridgewood Citadel Corps,40.70297,-73.894716,Nicole Bravo,718-497-4356,Pantry,69-23 Cypress Hills Street,Ridgewood,NY,11385,closed,closed,10:30 AM - 01:00 PM,closed,closed,closed,closed
Holy Innocents,40.644169,-73.962813,Joseph Grannum,718-469-9500,Pantry,279 East 17th Street,Brooklyn,NY,11226,closed,closed,08:00 AM - 12:00 PM,closed,closed,closed,closed
Zion Tabernacle FBH Church,40.681149,-73.835273,Debbine Murray,718-717-9993,Pantry,105-01 107th Avenue,Ozone Park,NY,11417,closed,11:00 AM - 01:00 PM,closed,closed,closed,closed,closed
Salvation Army Bay Ridge Corps,40.623496,-74.03207,Sheryl Myrick-Pettersen,718-238-2991,Pantry,252 86th Street,Brooklyn,NY,11209,08:30 AM - 12:30 PM,08:30 AM - 12:30 PM,08:30 AM - 12:30 PM,08:30 AM - 12:30 PM,closed,closed,closed
Boom! Health,40.822224,-73.910559,Keith Johnson,718-295-5606 ext 482,Pantry,3144 3rd Avenue,Bronx,NY,10451,09:30 AM - 04:00 PM,09:30 AM - 04:00 PM,09:30 AM - 04:00 PM,09:30 AM - 04:00 PM,09:30 AM - 04:00 PM,closed,closed
Mt. Hebron Church of Christ,40.667698,-73.911031,Karen Troublefield-Moses,,Pantry,167 Chester Street,Brooklyn,NY,11212,closed,closed,closed,closed,closed,09:00 AM - 10:30 AM,closed
Gethsemane SDA Church,40.664102,-73.950236,Antoine Vaval,(347)267-5145,Pantry,357 Empire Blvd.,Brooklyn,NY,11225,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,12:00 PM - 02:00 PM
Mt. Sinai SDA Church,40.721163,-73.739795,Clifton Cannady,718-465-1784,Pantry,217-10 93rd Ave,Queens Village,NY,11428,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,closed
All Nations Baptist Church of Woodhaven,40.691744,-73.862161,David Tinsley,718-847-4229,Pantry,86-74 80th Street,Woodhaven,NY,11421,closed,closed,closed,closed,closed,10:00 AM - 11:00 AM,closed
Vets Inc,40.694828,-73.779416,Mitchell Anderson,516-726-0568,Pantry,111-16 173rd Street,Jamaica,NY,11434,closed,closed,closed,closed,12:00 PM - 02:00 PM,closed,closed
"Vets Inc, Hollis Gardens",40.707553,-73.750293,Sharon Sweeting-Lindsey,646-261-1973,Pantry,202-14 Hollis Avenue,Queens Village,NY,11429,closed,closed,closed,03:00 PM - 05:00 PM,closed,closed,closed
Vets Inc,40.668084,-73.756657,Sharon Lindsey / Lee Blackmon,718-206-2376,Pantry,143-17 Springfield Blvd,Springfield Gardens,NY,11413,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,closed
Caldwell Temple AME Zion Church,40.829717,-73.89543,Sandra Reyes,718-842-2484,Soup Kitchen,1288 Rev James A Polite Avenue,Bronx,NY,10459,closed,closed,closed,closed,closed,11:00 AM - 02:00 PM,closed
Hope For The Future Ministries,40.72775,-73.980396,Diane Dunne,631-752-5771,Mobile Pantry,Tompkins Square Park,Manhattan,NY,10009,closed,closed,06:00 PM - 09:00 PM,closed,closed,02:00 PM - 07:00 PM,closed
Union Grove Missionary Baptist Church,40.832939,-73.889146,Charlene Blackwood,917-562-0408,Pantry,1488 Hoe Avenue,Bronx,NY,10460,closed,closed,09:00 AM - 11:00 AM,closed,closed,closed,closed
West Harlem Group Mobile Food Hub,40.81831,-73.938118,Zuleyka Ayala-Manzanet/ Tia,212-690-7902; 917-531-3244 (Tia's cell),Mobile Pantry,629 Lenox Avenue,New York,NY,10037,closed,10:00 AM - 04:00 PM,closed,closed,10:00 AM - 04:00 PM,closed,closed
COMMUNITY HEALTH ACTION OF STATEN ISLAND,40.640206,-74.134308,George Barreto,718-808-1876,Mobile Pantry,2134 RICHMOND TERRACE,Staten Island,NY,10302,10:30 AM - 01:00 PM,10:30 AM - 01:00 PM,11:00 AM - 01:00 PM,closed,10:30 AM - 01:00 PM,closed,closed
Corona SDA Church,40.753839,-73.864837,Speedie Plummer,718-651-4534,Pantry,35-30 103rd Street,Corona,NY,11368,09:00 AM - 11:00 AM,closed,closed,closed,closed,closed,closed
Corona SDA Church,40.753839,-73.864837,Speedie Plummer,718-651-4534,Soup Kitchen,35-30 103rd Street,Corona,NY,11368,closed,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM
Newman Memorial United Methodist Church,40.682188,-73.941017,Gwendolyn Lewis,917-972-0877,Pantry,257 Macon Street,Brooklyn,NY,11216,closed,10:00 AM - 02:00 PM,closed,closed,closed,closed,closed
Newman Memorial United Methodist Church,40.682188,-73.941017,Ms. Gwendolyn Lewis,917-972-0877,Soup Kitchen,257 Macon Street,Brooklyn,NY,11216,closed,09:00 AM - 10:30 AM,closed,closed,closed,closed,closed
"Xavier Mission, Inc.",40.737804,-73.995505,Cassandra Agredo,212-627-2100,Pantry,55 West 15th Street,New York,NY,10011,closed,closed,closed,closed,closed,10:00 AM - 11:30 AM (2nd Saturday of the month),closed
"Xavier Mission, Inc.",40.737804,-73.995505,Cassandra Agredo,212-627-2100,Soup Kitchen,55 West 15th Street,New York,NY,10011,closed,closed,closed,closed,closed,closed,12:45 PM - 03:00 PM
Calvary Free Will Baptist Church,40.679644,-73.9522,Pastor Mary Allen,973-951-8231,Pantry,1520-30 Herkimer Street,Brooklyn,NY,11207,closed,closed,closed,12:00 PM - 01:00 PM,closed,closed,closed
Hebron SDA Church,40.676639,-73.947686,Carline Joseph Paul,718-778-6454,Pantry,1256 Dean Street,Brooklyn,NY,11216,closed,closed,09:00 AM - 10:30 AM,closed,closed,closed,closed
Hebron SDA Church,40.676639,-73.947686,Carline Joseph Paul,718-773-7463,Soup Kitchen,1256 Dean Street,Brooklyn,NY,11216,closed,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM
St. Luke's Food Pantry,40.806186,-73.915569,Father Alexis Bastidas / Margarita,718-665-6677,Pantry,623 East 138th Street,Bronx,NY,10454,closed,closed,closed,closed,10:00 AM - 11:00 AM,closed,closed
CCNS-St John's Food Pantry,40.694848,-73.936356,Elvin Pagan,917-348-5943,Pantry,333 Hart Street,Brooklyn,NY,11206,closed,08:30 AM - 12:00 PM,closed,closed,closed,closed,closed
CCNS-Brooklyn West Family Center,40.692758,-73.991781,Jennifer Smith,718-726-9790 ext. 8025,Pantry,191 Joralemon Street,Brooklyn,NY,11201,closed,closed,closed,09:30 AM - 12:00 PM & 1:30 PM - 3:00 PM,closed,closed,closed
CCNS-St. Marks,40.587942,-73.950274,Jennifer Smith,718-891-0443,Pantry,2609 East 19th Street,Brooklyn,NY,11235,closed,closed,closed,09:30 AM - 11:30 AM (1st and 3rd Thursday of the month),closed,closed,closed
Grace Episcopal Church,40.840563,-73.883551,Daisy Clemetson,718-542-1946,Pantry,1909 Vyse Avenue,Bronx,NY,10460,closed,12:00 PM - 01:00 PM,closed,09:00 AM - 11:00 AM,closed,closed,closed
Our Lady of Mercy Church,40.662047,-73.905075,Danisha De Jesus,718-346-3166,Pantry,680 Mother Gaston Blvd,Brooklyn,NY,11212,09:00 AM - 11:00 AM,closed,closed,closed,09:00 AM - 11:00 AM,closed,closed
Momentum Project Inc. @ COGOP,40.815716,-73.92547,Keith Johnson,718-295-5605 ext 482,Pantry,226 East 144th Street,Bronx,NY,10452,closed,closed,11:00 AM - 01:30 PM,closed,closed,closed,closed
Momentum Project @Middle Collegiate Church,40.727652,-73.987592,Keith Johnson,917-232-5081,Mobile Pantry,50 East 7th Street,New York,NY,10003,04:00 PM - 06:30 PM,closed,closed,closed,closed,closed,closed
Momentum Project Inc. @ St. Peter's Church,40.815716,-73.92547,Keith Johnson,917-232-5081,Pantry,226 East 144th Street,Bronx,NY,10452,closed,04:00 PM - 06:30 PM,closed,closed,closed,closed,closed
